"Team Number","Match Number","Alliance Color","Start Position","Start Level","Crossed Line","Auto Hatch To Ship Success","Auto Hatch To Ship Failed","Auto Cargo To Ship Success","Auto Cargo To Ship Failed","Auto Hatch To Rocket Success","Auto Hatch To Rocket Failed","Auto Cargo To Rocket Success","Auto Cargo To Rocket Failed","Teleop Hatch To Ship Success","Teleop Hatch To Ship Failed","Teleop Cargo To Ship Success","Teleop Cargo To Ship Failed","Teleop Rocket L1 Hatch Success","Teleop Rocket L1 Hatch Failed","Teleop Rocket L2 Hatch Success","Teleop Rocket L2 Hatch Failed","Teleop Rocket L3 Hatch Success","Teleop Rocket L3 Hatch Failed","Teleop Rocket L1 Cargo Success","Teleop Rocket L1 Cargo Failed","Teleop Rocket L2 Cargo Success","Teleop Rocket L2 Cargo Failed","Teleop Rocket L3 Cargo Success","Teleop Rocket L3 Cargo Failed","Climb Level Attempted","Climb Level Achieved","Lifted Others Attempted Level","Lifted Others Achieved Level","Driver Rating","Hatch Collection Efficiency","Hatch Delivery Efficiency","Cargo Collection Efficiency","Cargo Delivery Efficiency","How Did They Defend","How Were They Against Defense","Won The Match","Disabled Or Fell","Match Comment"
"131","1","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Had allot of terrible placing a batch"
"663","6","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Drove very fast into cargo ship and was disabled for the rest of the match"
"663","21","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Dropped hatches repeatedly"
"811","1","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Got stuck on the rocket"
"811","16","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Got stuck on corner of hab"
"1247","11","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Tipped over in auto"
"1277","3","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","No movement in auto"
"1277","8","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","No movement in auto. Depend on guidance too get far side rocket"
"1512","1","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Trouble connecting with field"
"1512","7","""Red""","""Left""","""Level 1""","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","""None""","""None""","""None""","""None""","0","0","0","0","0","0","0","false","false","Spun around in circles. Wasnt very effective"
